antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, is_repeated_guest=NewGuest","total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled",0.09819934230998899,0.0556933919815645,0.05026871094439912,0.5119047619047619,9.191481137909708,1.0,0.044799656480797076,1.9346769530133798,0.9882490090930287,0.4851067283499716,0.4831178412279954,0.7072510822510822,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, is_repeated_guest=NewGuest","total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, is_repeated_guest=NewGuest → total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled"
"deposit_type=Non Refund, is_repeated_guest=NewGuest, total_of_special_requests=0_req, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel",0.09819093195179182,0.05570180233976165,0.05026871094439912,0.511948608137045,9.190880485596072,1.0,0.044799299061263426,1.934833530656947,0.9882319082368547,0.4851067283499716,0.48315967024798084,0.7072048642376302,"deposit_type=Non Refund, is_repeated_guest=NewGuest, total_of_special_requests=0_req, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel","deposit_type=Non Refund, is_repeated_guest=NewGuest, total_of_special_requests=0_req, meal=BB, distribution_channel=TA/TO → is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, is_repeated_guest=NewGuest","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel",0.09819934230998899,0.05570180233976165,0.05026871094439912,0.5119047619047619,9.190093325568185,1.0,0.04479883058915352,1.93465972203561,0.9882307905024752,0.4850673591949359,0.48311323763549485,0.7071829411214886,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, is_repeated_guest=NewGuest","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, is_repeated_guest=NewGuest → is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_repeated_guest=NewGuest, total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled",0.0985946291452553,0.0556933919815645,0.05026871094439912,0.5098524268531945,9.154630535377784,1.0,0.044777641616135434,1.926576116568068,0.9881965334075459,0.48326326002587316,0.4809444633927243,0.7062249147252986,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_repeated_guest=NewGuest, total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO → is_repeated_guest=NewGuest, total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled",0.0985946291452553,0.0556933919815645,0.05026871094439912,0.5098524268531945,9.154630535377784,1.0,0.044777641616135434,1.926576116568068,0.9881965334075459,0.48326326002587316,0.4809444633927243,0.7062249147252986,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO → total_of_special_requests=0_req, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel",0.09858621878705814,0.05570180233976165,0.05026871094439912,0.5098959221975772,9.15402914769955,1.0,0.04477728087209791,1.9267299343730746,0.9881793521742344,0.48326326002587316,0.48098590146969245,0.7061785212678963,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req → is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req","is_repeated_guest=NewGuest, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled",0.09858621878705814,0.05570180233976165,0.05026871094439912,0.5098959221975772,9.15402914769955,1.0,0.04477728087209791,1.9267299343730746,0.9881793521742344,0.48326326002587316,0.48098590146969245,0.7061785212678963,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req","is_repeated_guest=NewGuest, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO, total_of_special_requests=0_req → is_repeated_guest=NewGuest, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel",0.0985946291452553,0.05570180233976165,0.05026871094439912,0.5098524268531945,9.153248287071069,1.0,0.04477681239998801,1.9265589577394664,0.9881782334593405,0.4832241895060231,0.4809398404431116,0.706156773595705,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO → is_canceled=Canceled, market_segment=Groups, customer_type=Transient, hotel=City Hotel"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_repeated_guest=NewGuest, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled",0.0985946291452553,0.05570180233976165,0.05026871094439912,0.5098524268531945,9.153248287071069,1.0,0.04477681239998801,1.9265589577394664,0.9881782334593405,0.4832241895060231,0.4809398404431116,0.706156773595705,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_repeated_guest=NewGuest, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO → is_repeated_guest=NewGuest, market_segment=Groups, customer_type=Transient, hotel=City Hotel, is_canceled=Canceled"
"hotel=City Hotel, market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req","deposit_type=Non Refund, is_repeated_guest=NewGuest, is_canceled=Canceled, meal=BB, distribution_channel=TA/TO",0.05724930824803828,0.09815729051900321,0.05026871094439912,0.8780666960481858,8.945506659825664,1.0,0.04464927396268446,7.396196775225481,0.9421494368960079,0.4781217502599792,0.8647953765441139,0.6950953821257122,"hotel=City Hotel, market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req","deposit_type=Non Refund, is_repeated_guest=NewGuest, is_canceled=Canceled, meal=BB, distribution_channel=TA/TO","hotel=City Hotel, market_segment=Groups, customer_type=Transient, total_of_special_requests=0_req → deposit_type=Non Refund, is_repeated_guest=NewGuest, is_canceled=Canceled, meal=BB, distribution_channel=TA/TO"
